no	slug	name	title	subtitle	description	seo_title	seo_description	icon_key	theme_key	color_key	priority	visibility	canonical_path	schema_type	og_title	og_description	og_image	is_adult
67	usage-budget	コスパ重視	コスパ重視	価格と性能のベストバランス	価格と性能のバランスを重視する方向け													0
68	feat-weight-1kg	1kg未満（超軽量）	1kg未満		持ち運び最優先向け													0
69	feat-weight-1-5kg	1.0〜1.5kg（軽量）	軽量モデル		外出利用向け													0
70	feat-weight-2kg	1.5〜2.0kg（標準）	標準重量		据置兼用向け													0
71	maker-asus	ASUS	ASUS		幅広い用途に対応													0
72	maker-dell	DELL	DELL		法人・個人向け定番													0
73	maker-hp	HP	HP		ビジネス用途に人気													0
74	maker-lenovo	Lenovo	Lenovo		法人導入実績が豊富													0
75	maker-msi	MSI	MSI		ゲーミング分野に強み													0
76	maker-nec	NEC	NEC		国内向け定番モデル													0
77	maker-fujitsu	FUJITSU	FUJITSU		国内ビジネス向け													0
78	maker-dynabook	Dynabook	Dynabook		モバイルノートに強み													0
79	maker-mouse	MouseComputer	Mouse Computer		BTOモデルが豊富													0
80	maker-dospara	Dospara	Dospara		ゲーミングPCで人気													0
81	maker-acer	Acer	Acer		コスパ重視モデル展開													0
82	maker-razer	Razer	Razer		高級ゲーミングブランド													0
83	maker-vaio	VAIO	VAIO		軽量モバイル向け													0
84	maker-minisforum	MINISFORUM	MINISFORUM		高性能ミニPC向け													0
85	maker-beelink	Beelink	Beelink		小型PCに特化													0
86	monitor-24inch	24インチ前後（標準）	24インチ前後		標準的な作業向け													0
87	monitor-27inch	27インチ（大画面）	27インチ		作業とゲームを両立													0
88	monitor-32inch	32インチ以上（特大）	32インチ以上		没入感重視向け													0
89	monitor-small	22インチ以下（小型）	22インチ以下		省スペース向け													0
90	fhd	FHD	フルHD		標準的な画質													0
91	wqhd	WQHD	WQHD		作業領域を拡大													0
92	4k	4K	4K		高精細な映像向け													0
93	res-8k	8K（超高精細）	8K		最高クラスの高精細													0
94	hz-60hz	60Hz（標準）	60Hz		一般用途向け													0
95	hz-120hz	120Hz以上（高リフレッシュ）	120Hz以上		滑らかな表示向け													0
96	hz-240hz	240Hz以上（ゲーミング）	240Hz以上		高速ゲーム向け													0
97	refresh-500hz	500Hz	500Hz		競技レベル向け													0
98	panel-ips	IPS	IPS		色再現性を重視													0
99	panel-va	VA	VA		コントラスト重視													0
100	panel-oled	OLED	OLED		黒表現と発色が優秀													0
101	aspect-32-9	スーパーウルトラワイド（32:9）	32:9		圧倒的な横長表示													0
102	aspect-21-9	ウルトラワイド（21:9）	21:9		作業領域を拡張													0
103	gpu-highend	ハイエンドGPU	ハイエンドGPU		4KゲームやAI処理向け													0
104	gpu-mainstream	主流GPU	主流GPU		性能と価格のバランス重視													0
105	gpu-entry	エントリーGPU	エントリーGPU		基本用途向けGPU構成													0
106	gpu-integrated	内蔵GPU	内蔵GPU		省電力重視の内蔵GPU													0
107	cpu-ai	AI向けCPU	AI向けCPU		AI処理やNPU活用向け													0
108	cpu-highend	ハイエンドCPU	ハイエンドCPU		高負荷作業向けCPU性能													0
109	cpu-mainstream	主流CPU	主流CPU		幅広い用途に対応													0
110	cpu-entry	エントリーCPU	エントリーCPU		基本作業向けCPU構成													0
111	cpu-workstation	ワークステーションCPU	ワークステーションCPU		専門業務向け高性能CPU													0
112	cpu-arm	ARM系CPU	ARM系CPU		省電力重視のARM環境													0
113	memory-highend	大容量メモリ	大容量メモリ		重作業向け大容量構成													0
114	memory-standard	標準メモリ	標準メモリ		一般用途向け標準構成													0
115	memory-entry	最低限メモリ	最低限メモリ		基本用途向け構成													0
116	storage-highend	大容量ストレージ	大容量ストレージ		大量保存向け容量重視													0
117	storage-standard	標準ストレージ	標準ストレージ		日常用途向け標準容量													0
118	storage-fast	高速ストレージ	高速ストレージ		高速起動と快適操作向け													0
119	device-mini-pc	ミニPC	ミニPC		省スペース設置向け													0
120	monitor-gaming	ゲーミングモニター	ゲーミングモニター		高リフレッシュレート対応													0
121	monitor-creator	クリエイターモニター	クリエイターモニター		色再現性を重視した表示													0
122	monitor-business	業務向けモニター	ビジネスモニター		業務利用向け画面環境													0
123	monitor-ultrawide	ウルトラワイド	ウルトラワイド		横長表示で作業効率向上													0
124	monitor-highrefresh	高リフレッシュ	高リフレッシュ		滑らかな映像表示向け													0
125	monitor-oled	OLEDモニター	OLEDモニター		高画質表示を重視													0
126	maker-global	海外メーカー	海外メーカー		海外ブランドを中心に展開													0
127	maker-japan	国内メーカー	国内メーカー		国内ブランドを中心に展開													0
128	maker-gaming	ゲーミングブランド	ゲーミングブランド		ゲーム向けブランドを比較													0
129	adult-actress	女優系	女優の魅力		出演者の個性や魅力から探す													1
130	adult-body	体型・見た目	身体の魅力		体型や外見の特徴から探す													1
131	adult-scene	シチュエーション	シチュエーションの魅力		好みの状況や設定から探す													1
132	adult-style	プレイ内容	プレイの魅力		好みの展開や傾向から探す													1
133	adult-feature	映像特徴	体験の魅力		映像や視聴体験から探す													1
134	solo-actress	単体女優	単体女優		専属女優の世界													1
135	amateur	素人・ナンパ	素人・ナンパ		自然な出会いの世界													1
136	mature	熟女・人妻	熟女・人妻		大人の魅力の世界													1
137	college-girl	女子大生	女子大生		青春の魅力の世界													1
138	big-breasts	巨乳	巨乳		豊かなバストの魅力													1
139	beautiful-girl	美少女	美少女		可憐な魅力の世界													1
140	slender	スレンダー	スレンダー		細身の美しさの魅力													1
141	chubby	ぽっちゃり	ぽっちゃり		柔らかな魅力の世界													1
142	ultra-hd-4k	4K / 高画質	4K高画質		高精細映像の魅力													1
143	vr-content	VR / 3D	VR体験		没入体験の魅力													1
144	self-shot	個人撮影	個人撮影		自然な臨場感の魅力													1
145	ai-analyzed	AI解析済 / 高圧縮	AI最適化		AI解析技術の魅力													1
146	cosplay	制服・コスプレ	コスプレ		衣装変化の魅力													1
147	fetish	巨乳・フェチ	フェチ		嗜好探求の魅力													1
148	public-exposure	痴漢・露出	露出系		刺激的状況の魅力													1
149	nursing	白衣・奉仕	白衣・奉仕		奉仕的関係の魅力													1
150	creampie	中出し	中出し		人気傾向の魅力													1
151	sm-bondage	拘束・SM	SM		支配と服従の魅力													1
152	squirting	潮吹き	潮吹き		感度表現の魅力													1
153	female-led	逆レイ・攻め	女攻め		主導的魅力の世界													1
154	adult	ギャル系	ギャル系		華やかな魅力の世界													1
155	beautiful-breasts	美乳	美乳		美しいバストの魅力													1
156	big-ass	巨尻	巨尻		豊かなヒップの魅力													1
